HD_Phrase,IPA_Phrase,HD_N,IPA_N,Mapping_Type,Is_Phrase_Mapping,Gemeinsame_Treffer,Occurrence_Count,HD_Haeufigkeit,IPA_Haeufigkeit,HD_Rate,IPA_Rate,PMI,Avg_Position_Distance,Score,Example_Sentence,Example_IPA_Audio,Example_IPA_Reference,Example_Tense,Rank_For_HD_Phrase
jahre,jɔː,1,1,1-1,0,4,4,23,10,0.1739,0.4,5.7451,0.0444,21.959,Es gäbe sicher lohnenswerte Ziele für die nächsten Jahre.,ɛs gɛp sɪç loːnən tsvɛɾt diː tsiːl fyːɾ diː nɔɾstɛ jɔː,ɛs ɡɛːbə zɪçɜ loːnənsveːɾtə tsiːlə fyːɾ diː nɛçstən jɑːrə,Präsens,1
fdp,peː,1,1,1-1,0,3,3,10,5,0.3,0.6,7.5317,0.0367,21.765,Die FDP setzt sich für Fortschritte ein.,ɛftə peː sɛtst tɪç fyːɾ fɔːɾtʃriːtiː,diː ɛfdeːpeː zɛtst zɪç fyːɾ fɔɾtʃrɪtə aɪn,Präsens,1
sich der,zɪçtə,2,1,2-1,1,3,3,7,8,0.4286,0.375,7.3682,0.0181,21.7039,Seit zehn Jahren widmet er sich der Erforschung dieser Pflanzen.,ziː tsɛː jɑːvɪd ʏm dɛɾ zɪçtə ɛɾfɔɾʃɪp fɔ deːnə blantsə,zaɪt tseːn jɑːrən vɪdmət ɛɾ zɪç dɛɾ ɛɾfɔɾʃʊŋ diːzɜ pflantsən,Präsens,1
zeigt,tsaɪkt,1,1,1-1,0,3,3,8,6,0.375,0.5,7.5906,0.0718,21.1369,Das zeigt eine Studie von Psychologen aus 44 Ländern.,das tsaɪkt ɛs ʃtuːdɪɾt fɔpsyxɔloːgə uːzfiːrə fiːɾtsglɛndɔ,das tsaɪkt aɪnə ʃtuːdɪə fɔn psyːçoːloːɡən aʊs fiːɾ ʊntfɪɾtsɪç lɛndɜn,Präsens,1
gibt es,gits,2,1,2-1,1,3,3,18,3,0.1667,1.0,7.4207,0.0542,21.0561,Zum Schweizer Preis gibt es noch keine konkreten Angaben.,tsuʒuitse prɛz gits nokraʎ kɔn kɾɛtʃ ɛɾkɔp,tsʊm ʃvaɪtsɜ pɾaɪs ɡiːpt ɛs nɔx kaɪnə kɔŋkɾeːtən anɡɑːbən,Präsens,1
ist alles,ɑːləs,2,1,2-1,1,3,3,3,10,1.0,0.3,8.2687,0.1526,21.0211,Für Gäste und Besitzer ist alles zugänglich.,fyːɾ geːʃtʊm ziːtsɛ ɪn ɑːləs tsuːɾgɛːnlɪç,fyːɾ ɡɛstə ʊnt bəzɪtsɜ ɪst aləs tsuːɡɛŋlɪç,Präsens,1
du,du,1,1,1-1,0,3,3,17,4,0.1765,0.75,7.0881,0.0156,20.9318,Du wirst wieder und wieder fragen müssen.,du viːɾ ɔʃviːtɛ ɔn bitɛɾ fɔɾgəmɪsə,duː vɪɾst viːdɜ ʊnt viːdɜ frɑːɡən mʏsən,Futur,1
liegt,liːk,1,1,1-1,0,3,3,16,4,0.1875,0.75,7.1755,0.0349,20.7754,"Das Potenzial, das die LOVA anfänglich aufzeigte, liegt bei 7 Mio. Franken.",s pʊntən tsiːɑːl vʊɐt gloːvɑː ɑːfɛnglgɛɾ ʊftsɛɾk haɪt liːk bɪsibə mɪliːoːnə frankə,das poːtəntsiːɑːl das diː loːvɑː anfɛŋlɪç aʊftsaɪktə liːkt baɪ ziːbən mɪoː fraŋkən,Präsens,2
keinen,kaɪn,1,1,1-1,0,3,3,14,5,0.2143,0.6,7.0463,0.0234,20.645,Es gibt jedoch keinen Grund mit der Umsetzung dringender Massnahmen zuzuwarten.,ɛs giːt jeːdaʊx kaɪn gʊnt miː deːm ʊmsɛtsɪç fɔrdɾɪŋənə mɑːsnɑːmə tsʊːrɛts vɑːɾtə,ɛs ɡiːpt jeːdɔx kaɪnən ɡɾʊnt mɪt dɛɾ ʊmzɛtsʊŋ dɾɪŋəndɜ masnɑːmən tsuːtsuːvaɾtən,Präsens,1
schweiz,ʃvits,1,1,1-1,0,3,3,20,3,0.15,1.0,7.2687,0.054,20.6294,Aarau ist eine der 50 grössten Städte der Schweiz.,ɑːraʊ ɪ ʃaɪnɪ fɔr dɛɾ fʏfts gɾœʃtɛɾ ʃtɛkt ɪtɛɾ ʃvits,ɑːraʊ ɪst aɪnə dɛɾ fʏnftsɪç ɡɾœstən ʃtɛtə dɛɾ ʃvaɪts,Präsens,2
ich möchte,mɛçt,2,1,2-1,1,3,3,12,5,0.25,0.6,7.2687,0.0624,20.4445,Und ich möchte auch kein Geheimnis daraus machen.,ʊn diː mɛçt aʊkhaɪs kɑlmɪs tɔs maxə,ʊnt ɪç mœçtə aʊx kaɪn ɡəhaɪmnɪs dɑːraʊs maxən,Präsens,1
diesbezüglich,diːz,1,1,1-1,0,3,3,7,7,0.4286,0.4286,7.5608,0.1019,20.3723,Ich habe diesbezüglich leider keine Angaben gefunden.,ɪɐ diːz bətsyːklɛ klaɪdɐ kɑː jɑːgɑːgɑːɾgɛk vɔndə,ɪç hɑːbə diːsbeːtsyːklɪç laɪdɜ kaɪnə anɡɑːbən ɡəfʊndən,Perfekt,1
all,ɑl,1,1,1-1,0,3,3,9,9,0.3333,0.3333,6.8357,0.0192,20.1135,Beispielhaft ist das Duell mit Russland um die Vorherrschaft im All.,ɪʃpɪlhaft ɪst stuːl mɪt rʊslant ʊnt fɔːr hɛɾʃaft ɪm ɑl,baɪʃpiːlhaft ɪst das duːɛl mɪt rʊslant ʊm diː foːɾheːɾɾʃaft ɪm al,Präsens,1
gibt es,giːts,2,1,2-1,1,3,3,18,4,0.1667,0.75,7.0056,0.047,20.0289,Im Fussball gibt es immer etwas Neues zu erzählen.,ɪm vʊɐspal giːts iːmɑː øːbɪs nɔøst fɔtseːlə,ɪm fʊsbal ɡiːpt ɛs ɪmɜ ɛtvɑːs nɔøəs tsuː ɛɾtsɛːlən,Präsens,2
demnach,tɛm,1,1,1-1,0,3,3,5,14,0.6,0.2143,7.0463,0.0575,19.9234,Das Geschoss schlug demnach etwa 150 Meter entfernt vom OSZE-Fahrzeug ein.,ɪtə ʃɑs hɛt tɛm nɑːx ɛtə hɔnə fʏftsʃgmeːtɾɪnt fɛɾt fɔm ɔsət eːfɾaɾtsuːgɛlɛkɛn,das ɡəʃɔs ʃluːk dɛmnax ɛtvɑː aɪnhʊndɜt fʏnftsɪç meːtɜ ɛntfɛɾnt fɔm ɔstsəfɑːɾtsɔøk aɪn,Präteritum,1
kommt,kʊnt,1,1,1-1,0,3,3,13,7,0.2308,0.4286,6.6678,0.0101,19.8018,Aber dann kommt die Problematik.,aɪbɛ dɛn kʊnt tiː pɔbɛmatɪç,ɑːbɜ dan kɔmt diː pɾoːbleːmɑtiːk,Präsens,1
2018,tsvaɪt,1,1,1-1,0,3,3,8,8,0.375,0.375,7.1755,0.0842,19.713,Wie wird das Budget 2018 aussehen?,viːɾ viːɾts byːtʃə tsvaɪt duːzə kʊntɑxtsə aʊsgəseːn,viː vɪɾt das bʊdɡət tsvaɪ taʊzənt axtseːn aʊszeːən,Futur,1
wäre,vɛɾ,1,1,1-1,0,4,4,18,20,0.2222,0.2,5.0987,0.0401,19.5769,Allein diese Tatsache wäre schon ein Schritt in die richtige Richtung.,ɛlaɪdiːtɛtsaːx vɛɾ ɑʊnʃvoːɛn ʃrɪptiː diː rɪçtɪgɾɪçtɪgɛk,alaɪn diːzə tatzaxə vɛːrə ʃoːn aɪn ʃrɪt ɪn diː rɪçtɪɡə rɪçtʊŋ,Präsens,1
neuen,nɔɪə,1,1,1-1,0,3,3,20,4,0.15,0.75,6.8536,0.0517,19.4982,Die meisten neuen Läden entstehen derzeit allerdings im Ausland.,ɪmaɪʃteːn nɔɪə laɪtə ɛtʃtənt aɪsɔɾdiːgən stɛɾts tɪ mʊsɛlant,diː maɪstən nɔøən lɛːdən ɛntʃteːən dɛɾtsaɪt alɜdɪŋs ɪm aʊslant,Präsens,1
fünf,fyːf,1,1,1-1,0,3,3,14,7,0.2143,0.4286,6.5608,0.0261,19.1689,Die letzten fünf bis sechs Jahre waren geprägt von intensiven Budgetdebatten.,diː lɛtʃtə fyːf bɪsɛç ziːɑːr zɪm tɾɛksiː foːɪntəntsiːf fɛɾbiːtʃɛtə bɑːtə,diː lɛtstən fʏnf bɪs zɛks jɑːrə vɑːrən ɡəpɾɛːkt fɔn ɪntɛnziːvən bʊdɡɛtdeːbatən,Plusquamperfekt,1
hat das,hɛts,2,1,2-1,1,3,3,10,10,0.3,0.3,6.5317,0.0328,18.9518,Die HRS folgte unserem Vorschlag und hat das Tellikonzept studiert.,taɪrə ɛs hɛt dyːzən fɔɾʃlɑːk ʊfknɔː ʊnt hɛts teːliːk kɔntsɛpt ʃtuːdiːrt,diː hɑːɛrɛs fɔlktə ʊnzərəm foːɾʃlɑːk ʊnt hat das tɛliːkɔntsɛpt ʃtuːdiːɾt,Präsens,1
dieser zeit,tsiːt,2,1,2-1,1,3,3,7,13,0.4286,0.2308,6.6678,0.0676,18.6512,Gleichzeitig wird die Pikettorganisation während dieser Zeit entlastet.,gliːxtsiːtɪg viːɾt piːkə aʊɐganiːzatsiːɔːn vɛɾɾɛt tɛrə tsiːt dɛɾ klaɪʃtət,ɡlaɪçtsaɪtɪç vɪɾt diː piːkɛtɔɾɡaniːzatsjoːn vɛːrənt diːzɜ tsaɪt ɛntlastət,Futur,1
und die,ʊnt diː,2,2,2-2,1,3,3,13,9,0.2308,0.3333,6.3052,0.0163,18.6069,Den Verkehr und die Aufenthaltsqualität zu kombinieren ist die Quadratur des Kreises.,ɪnə fɛreːə ʊnt diː uːfəntɑːls kɑːnɪtɛtt kɾʊmpɪneːrə ɪçkʊɑːtɾɑːtuːr vʊɐdə xɾaɪzəl,deːn fɛɾkeːɾ ʊnt diː aʊfənthaltskvɑːliːtɛːt tsuː kɔmbiːniːrən ɪst diː kvadɾatuːɾ dɛs kɾaɪzəs,Präsens,1
budget,duːzə,1,1,1-1,0,3,3,14,6,0.2143,0.5,6.7832,0.0877,18.5646,Wie wird das Budget 2018 aussehen?,viːɾ viːɾts byːtʃə tsvaɪt duːzə kʊntɑxtsə aʊsgəseːn,viː vɪɾt das bʊdɡət tsvaɪ taʊzənt axtseːn aʊszeːən,Futur,2
ich mich,mɪç,2,1,2-1,1,3,3,7,14,0.4286,0.2143,6.5608,0.0579,18.5421,Und schliesslich konnte ich mich da nur zum Affen machen.,oːn tʃlɛslɪç hanɪ mɪç dɑːɾ nɔx aɪnɛ tsʊmɑːfmaxə,ʊnt ʃliːslɪç kɔntə ɪç mɪç dɑː nuːɾ tsʊm afən maxən,Präteritum,1
für den,fyːɾ dɛɾ,2,2,2-2,1,3,3,20,4,0.15,0.75,6.8536,0.1027,18.4499,"Oder wird ein Zusatzkredit fällig, für den der Gemeinderat zuständig ist?",ɔnə viːɾ at dɛtsvɛsatskɑːzɛɾ dɛn fɛlɪk fyːɾ dɛɾ kmaɪntɾɔø tsʊɾstɛndɪgiːʃ,oːdɜ vɪɾt aɪn tsuːzatskɾeːdɪt fɛlɪç fyːɾ deːn dɛɾ ɡəmaɪndeːrɑːt tsuːʃtɛndɪç ɪst,Futur,1
durch,dɔx,1,1,1-1,0,4,4,20,26,0.2,0.1538,4.5682,0.0301,17.7235,Entlang der Winkelriedstrasse wurden die Parkplätze neu angeordnet und durch Bäume aufgewertet.,ɪntlaŋ deːvɪŋkərɛːt ʃraʃt zɪnt bɑːk daɪs nɔø jɑːgɔɾnət ʊnt dɔx bɔøm ʊffeːɾt tvɔɾtə,ɛntlaŋ dɛɾ vɪnkəlriːtstɾasə vʊɐdən diː paɾkplɛtsə nɔø anɡəɔɾdnət ʊnt dʊɐç bɔømə aʊfɡəvɛɾtət,Präteritum,1
stadt,ʃtat,1,1,1-1,0,3,4,15,9,0.2,0.3333,6.0987,0.0323,17.705,Die Stadt ist via Dividende vom Erfolg der Eniwa betroffen.,gɛɾ ʃtat ɪç ʃviːɾ diːɾ diːɾ dɛndə foːmɑːfoːl foːtə ɛniːvɑː bədɾɔfə,diː ʃtat ɪst viːɑː diːviːdəndə fɔm ɛɾfɔlk dɛɾ eːniːvɑː bətɾɔfən,Präsens,1
hätte,hɪt,1,1,1-1,0,3,3,14,9,0.2143,0.3333,6.1983,0.0684,17.3236,Meine Frau hätte im Café sein können.,mɪni fraʊ hɪt kønən ɪm kafɪsiː,maɪnə fraʊ hɛtə ɪm kafeː zaɪn kœnən,Präsens,1
gab es,hɛts,2,1,2-1,1,3,3,11,10,0.2727,0.3,6.3942,0.1157,16.9624,Bei einigen Motoren gab es wahlweise eine 3-Gang-Automatik.,piaɛnɨkɛ motorɛ hɛts vaːlvaɪsɛ ɛrːtryːkɑŋ haʊtɑmɑːtɪk kei,baɪ aɪnɪɡən moːtoːrən ɡɑːp ɛs vɑːlvaɪzə aɪnə dɾaɪɡaŋaʊtoːmɑtiːk,Präteritum,1
sie sich,ziːx,2,1,2-1,1,3,3,15,11,0.2,0.2727,5.8092,0.037,16.7822,Wie fühlen Sie sich als Entertainer mittleren Alters?,viːɾ vyːlə tsiː ziːx als ɛndɔteːnɔ mɪçlrən ɛltɔs,viː fyːlən ziː zɪç als (en)ɛntəteɪnə(de) mɪtlərən altɜs,Präsens,1
zwischen,baɪdə,1,1,1-1,0,3,3,9,9,0.3333,0.3333,6.8357,0.1868,16.6764,Das Gleichgewicht zwischen den zwei Anliegen ist nicht genügend austariert.,sglɪçt gviːxt tsvɪʃə dɛnə baɪdə aɾdɪçə ɪʃnək nøːgən dʊstɛɾ pɛɾt,das ɡlaɪçɡeːvɪçt tsvɪʃən deːn tsvaɪ anliːɡən ɪst nɪçt ɡənyːɡənt aʊstariːɾt,Präsens,1
neu,nɔø,1,1,1-1,0,3,3,11,12,0.2727,0.25,6.1312,0.1017,16.5227,Wir haben in diesem Bereich neu einen Lastenausgleich.,meː hɛnd ɪdɛm gəraɪç nɔø ɛn laʃtə dʊs gliːk,viːɾ hɑːbən ɪn diːzəm bəraɪç nɔø aɪnən lastənaʊsɡlaɪç,Präsens,1
nicht in,nøːt,2,1,2-1,1,3,3,11,13,0.2727,0.2308,6.0157,0.0883,16.4537,"Und das wollen wir in Aarau nicht, auch nicht in der Zwischensaison.",ʊnt ʊntɑs vømeːrɪn ɑːraʊ nøːt ɑːnøːtɪtɪ tə tsvɪʃɛzəzɑːn,ʊnt das vɔlən viːɾ ɪn ɑːraʊ nɪçt aʊx nɪçt ɪn dɛɾ tsvɪʃənzaɪzoːn,Präsens,1
sich die,zɪçt,2,1,2-1,1,3,3,16,15,0.1875,0.2,5.2687,0.0258,15.3989,Darum hat sich die Olympiasiegerin etwas ungewöhnliches einfallen lassen.,dɑːrʊm hɛt zɪçt doː lɪmpɪɑːsiːgərɪn øːpɪs ʊkvʏːndlɑːs iːfɑːləloː,dɑːrʊm hat zɪç diː oːlʏmpiːaziːɡərɪn ɛtvɑːs ʊnɡəvøːnlɪçəs aɪnfalən lasən,Präsens,1
gab,hɛts,1,1,1-1,0,3,3,16,10,0.1875,0.3,5.8536,0.1296,15.2845,Bei einigen Motoren gab es wahlweise eine 3-Gang-Automatik.,piaɛnɨkɛ motorɛ hɛts vaːlvaɪsɛ ɛrːtryːkɑŋ haʊtɑmɑːtɪk kei,baɪ aɪnɪɡən moːtoːrən ɡɑːp ɛs vɑːlvaɪzə aɪnə dɾaɪɡaŋaʊtoːmɑtiːk,Präteritum,1
